Kennziffer;Raumeinheit;Aggregat;Durchschnittsalter der Bevölkerung;Siedlungsdichte in km²;Studierende je 100 Einwohner 18 bis 25 Jahre;Gesamtwanderungssaldo;Haushalte mit hohem Einkommen;Erreichbarkeit von Oberzentren;Bevölkerung gesamt
"091850149";"Neuburg adDonau. GKSt";"verbandsfreie Gemeinde";"42.66";"1631.94";"0.00";"16.28";"22.01";"27.30";"28748"
"091850150";"Oberhausen";"verbandsfreie Gemeinde";"40.39";"886.93";"0.00";"13.03";"19.24";"27.92";"2686"
"091850153";"Rennertshofen. M";"verbandsfreie Gemeinde";"42.87";"695.86";"0.00";"3.77";"24.07";"28.20";"4776"
"091850158";"Schrobenhausen. St";"verbandsfreie Gemeinde";"43.69";"1419.61";"0.00";"12.12";"23.02";"35.58";"16172"
"091850163";"Königsmoos";"verbandsfreie Gemeinde";"39.99";"1011.16";"0.00";"-2.87";"25.97";"29.89";"4530"
"091850168";"Weichering";"verbandsfreie Gemeinde";"41.33";"689.08";"0.00";"25.97";"32.87";"21.79";"2387"
"091855154";"Neuburg adDonau (VGem)";"Gemeindeverband";"41.12";"863.13";"0.00";"7.06";"27.81";"25.46";"3401"
"091855155";"Schrobenhausen (VGem)";"Gemeindeverband";"40.83";"762.32";"0.00";"5.13";"29.62";"32.08";"8974"
"091860113";"Baar-Ebenhausen";"verbandsfreie Gemeinde";"42.99";"1545.06";"0.00";"5.92";"31.41";"14.33";"5070"
"091860125";"Gerolsbach";"verbandsfreie Gemeinde";"41.22";"691.70";"0.00";"-2.69";"28.60";"37.54";"3349"
"091860128";"Hohenwart. M";"verbandsfreie Gemeinde";"41.50";"867.05";"0.00";"12.21";"25.71";"25.14";"4504"
"091860132";"Jetzendorf";"verbandsfreie Gemeinde";"41.73";"1242.56";"0.00";"-9.54";"32.04";"28.83";"2935"
"091860137";"Manching. M";"verbandsfreie Gemeinde";"42.12";"1037.19";"0.00";"26.85";"21.85";"9.88";"11767"
"091860139";"Münchsmünster";"verbandsfreie Gemeinde";"42.77";"768.02";"0.00";"5.91";"28.93";"23.64";"2878"
"091860143";"Pfaffenhofen adIlm. St";"verbandsfreie Gemeinde";"42.27";"1960.57";"0.00";"15.10";"24.15";"29.38";"24441"
"091860146";"Reichertshausen";"verbandsfreie Gemeinde";"42.17";"1508.61";"0.00";"5.92";"34.19";"24.54";"4896"
"091860149";"Rohrbach";"verbandsfreie Gemeinde";"40.52";"1336.97";"0.00";"9.18";"29.77";"20.12";"5771"
"091860151";"Scheyern";"verbandsfreie Gemeinde";"42.20";"1262.47";"0.00";"24.25";"29.14";"29.47";"4824"
"091860152";"Schweitenkirchen";"verbandsfreie Gemeinde";"41.00";"842.90";"0.00";"15.20";"33.72";"19.68";"5000"
"091860158";"Vohburg adDonau. St";"verbandsfreie Gemeinde";"41.41";"1104.30";"0.00";"20.08";"29.25";"19.36";"7669"
"091860162";"Wolnzach. M";"verbandsfreie Gemeinde";"42.30";"1105.41";"0.00";"5.82";"23.77";"19.72";"10997"
"091865156";"Geisenfeld (VGem)";"Gemeindeverband";"41.23";"1050.66";"0.00";"14.40";"28.74";"19.18";"11871"
"091865157";"Ilmmünster (VGem)";"Gemeindeverband";"41.88";"1303.09";"0.00";"5.59";"33.12";"26.39";"4118"
"091865158";"Reichertshofen (VGem)";"Gemeindeverband";"41.64";"1230.12";"0.00";"11.92";"29.46";"16.07";"9897"
"091870113";"Amerang";"verbandsfreie Gemeinde";"42.48";"1010.08";"0.00";"3.06";"23.29";"25.59";"3598"
"091870114";"Aschau iChiemgau";"verbandsfreie Gemeinde";"47.77";"1428.39";"0.00";"14.08";"34.69";"18.07";"5541"
"091870116";"Babensham";"verbandsfreie Gemeinde";"40.30";"796.82";"0.00";"-7.21";"29.50";"22.01";"2913"
"091870117";"Bad Aibling. St";"verbandsfreie Gemeinde";"43.83";"2479.33";"0.00";"24.33";"22.26";"14.43";"17633"
"091870118";"Bernau aChiemsee";"verbandsfreie Gemeinde";"44.12";"1623.39";"0.00";"12.45";"21.86";"18.23";"6588"
"091870120";"Brannenburg";"verbandsfreie Gemeinde";"44.03";"1748.82";"0.00";"0.17";"25.09";"15.37";"5719"
"091870122";"Bruckmühl. M";"verbandsfreie Gemeinde";"42.80";"2069.71";"0.00";"7.68";"28.64";"21.40";"15878"
"091870124";"Edling";"verbandsfreie Gemeinde";"41.05";"1574.39";"0.00";"12.31";"31.91";"30.27";"4388"
"091870125";"Eggstätt";"verbandsfreie Gemeinde";"44.20";"1477.04";"0.00";"9.26";"22.64";"25.95";"2807"
"091870126";"Eiselfing";"verbandsfreie Gemeinde";"41.45";"943.67";"0.00";"4.44";"34.64";"29.26";"2931"
"091870128";"Bad Endorf. M";"verbandsfreie Gemeinde";"43.45";"1932.01";"0.00";"25.78";"20.41";"17.53";"8222"
"091870129";"Bad Feilnbach";"verbandsfreie Gemeinde";"43.20";"1512.36";"0.00";"4.91";"25.13";"16.79";"7734"
"091870130";"Feldkirchen-Westerham";"verbandsfreie Gemeinde";"42.83";"1587.06";"0.00";"8.79";"43.51";"28.18";"10468"
"091870131";"Flintsbach aInn";"verbandsfreie Gemeinde";"41.96";"1269.71";"0.00";"13.73";"23.65";"15.42";"2987"
"091870132";"Frasdorf";"verbandsfreie Gemeinde";"40.98";"1160.59";"0.00";"5.68";"24.96";"15.23";"2995"
"091870134";"Griesstätt";"verbandsfreie Gemeinde";"39.04";"1132.37";"0.00";"-13.85";"22.13";"21.23";"2599"
"091870137";"Großkarolinenfeld";"verbandsfreie Gemeinde";"41.64";"2043.18";"0.00";"7.86";"25.09";"10.45";"7123"
"091870142";"Schechen";"verbandsfreie Gemeinde";"41.17";"1236.99";"0.00";"10.90";"22.96";"14.10";"4677"
"091870148";"Kiefersfelden";"verbandsfreie Gemeinde";"45.80";"1950.00";"0.00";"28.07";"21.52";"21.82";"6662"
"091870150";"Kolbermoor. St";"verbandsfreie Gemeinde";"42.84";"3263.06";"0.00";"14.50";"22.38";"9.64";"18065"
"091870154";"Neubeuern. M";"verbandsfreie Gemeinde";"42.02";"2059.62";"0.00";"4.45";"31.87";"11.84";"4272"
"091870156";"Nußdorf aInn";"verbandsfreie Gemeinde";"43.06";"1420.32";"0.00";"7.13";"37.67";"14.88";"2666"
"091870157";"Oberaudorf";"verbandsfreie Gemeinde";"46.00";"1291.94";"0.00";"22.19";"21.37";"20.32";"4958"
"091870162";"Prien aChiemsee. M";"verbandsfreie Gemeinde";"46.70";"2108.32";"0.00";"28.32";"21.54";"21.97";"10309"
"091870163";"Prutting";"verbandsfreie Gemeinde";"40.20";"1480.54";"0.00";"13.03";"32.06";"10.63";"2609"
"091870165";"Raubling";"verbandsfreie Gemeinde";"43.02";"1707.31";"0.00";"9.41";"26.31";"9.60";"11163"
"091870167";"Riedering";"verbandsfreie Gemeinde";"42.24";"1408.84";"0.00";"2.92";"29.38";"8.37";"5488"
"091870168";"Rimsting";"verbandsfreie Gemeinde";"45.79";"1512.45";"0.00";"29.54";"34.24";"22.45";"3757"
"091870169";"Rohrdorf";"verbandsfreie Gemeinde";"42.31";"1299.55";"0.00";"4.91";"27.96";"10.24";"5498"
"091870172";"Samerberg";"verbandsfreie Gemeinde";"42.80";"1393.63";"0.00";"28.88";"26.41";"18.82";"2701"
"091870174";"Söchtenau";"verbandsfreie Gemeinde";"41.03";"1094.24";"0.00";"1.54";"25.75";"15.83";"2598"
"091870176";"Soyen";"verbandsfreie Gemeinde";"43.10";"891.14";"0.00";"14.18";"31.22";"22.83";"2750"
"091870177";"Stephanskirchen";"verbandsfreie Gemeinde";"44.35";"2041.03";"0.00";"10.68";"36.61";"7.43";"10113"
"091870179";"Tuntenhausen";"verbandsfreie Gemeinde";"39.47";"1082.80";"0.00";"-5.44";"28.97";"20.02";"6981"
"091870181";"Vogtareuth";"verbandsfreie Gemeinde";"40.49";"1118.77";"0.00";"0.64";"23.40";"15.87";"3101"
"091870182";"Wasserburg aInn. St";"verbandsfreie Gemeinde";"43.07";"2411.91";"18.87";"10.20";"22.25";"29.87";"12348"
"091875160";"Breitbrunn aChiemsee (VGem)";"Gemeindeverband";"45.12";"977.15";"0.00";"6.10";"29.33";"29.58";"2949"
"091875162";"Halfing (VGem)";"Gemeindeverband";"41.21";"1099.80";"0.00";"21.22";"23.50";"22.07";"5231"
"091875165";"Rott aInn (VGem)";"Gemeindeverband";"41.08";"1459.62";"0.00";"15.78";"30.17";"21.62";"5198"
"091875184";"Pfaffing (VGem)";"Gemeindeverband";"40.64";"1075.37";"0.00";"15.02";"29.51";"29.65";"5592"
"091879451";"Rotter Forst-Nord";"gemeindefreies Gebiet";"0.00";"0.00";"0.00";;;"22.64";"0"
"091879452";"Rotter Forst-Süd";"gemeindefreies Gebiet";"0.00";"0.00";"0.00";;;"19.80";"0"
"091880113";"Berg";"verbandsfreie Gemeinde";"43.04";"1452.30";"0.00";"14.49";"54.58";"25.57";"8141"
"091880117";"Andechs";"verbandsfreie Gemeinde";"42.08";"1237.20";"0.00";"6.43";"32.58";"16.08";"3424"
"091880118";"Feldafing";"verbandsfreie Gemeinde";"46.03";"1342.01";"0.00";"14.91";"53.94";"19.67";"4158"
"091880120";"Gauting";"verbandsfreie Gemeinde";"43.55";"2477.51";"0.00";"10.00";"46.70";"25.89";"20097"
"091880121";"Gilching";"verbandsfreie Gemeinde";"42.25";"3062.40";"0.00";"16.19";"43.07";"26.50";"17851"
"091880124";"Herrsching aAmmersee";"verbandsfreie Gemeinde";"45.03";"2262.15";"228.09";"8.91";"41.30";"19.94";"10213"
"091880126";"Inning aAmmersee";"verbandsfreie Gemeinde";"43.50";"1325.84";"0.00";"16.82";"53.02";"28.67";"4460"
"091880127";"Krailling";"verbandsfreie Gemeinde";"45.80";"2498.04";"0.00";"8.65";"54.05";"23.83";"7515"
"091880132";"Seefeld";"verbandsfreie Gemeinde";"43.89";"1662.98";"0.00";"-2.24";"51.70";"24.56";"7149"
"091880137";"Pöcking";"verbandsfreie Gemeinde";"45.52";"1573.83";"0.00";"-0.92";"52.17";"20.87";"5430"
"091880139";"Starnberg. St";"verbandsfreie Gemeinde";"44.31";"1914.77";"26.55";"11.66";"43.11";"22.05";"22650"
"091880141";"Tutzing";"verbandsfreie Gemeinde";"45.73";"1799.82";"0.00";"14.63";"51.76";"14.36";"9503"
"091880144";"Weßling";"verbandsfreie Gemeinde";"42.96";"1369.15";"0.00";"4.34";"43.51";"26.13";"5299"
"091880145";"Wörthsee";"verbandsfreie Gemeinde";"43.69";"1413.71";"0.00";"7.11";"53.56";"29.08";"4921"
"091889451";"Starnberger See";"gemeindefreies Gebiet";"0.00";"0.00";"0.00";;;"25.17";"0"
"091890111";"Altenmarkt adAlz";"verbandsfreie Gemeinde";"43.52";"1462.85";"0.00";"-5.78";"27.03";"24.23";"4153"
"091890114";"Chieming";"verbandsfreie Gemeinde";"43.79";"978.53";"0.00";"5.48";"33.54";"13.43";"4743"
"091890115";"Engelsberg";"verbandsfreie Gemeinde";"39.91";"1016.48";"0.00";"-5.42";"24.47";"17.85";"2581"
"091890118";"Fridolfing";"verbandsfreie Gemeinde";"42.43";"862.27";"0.00";"-4.62";"23.51";"23.32";"4111"
"091890119";"Grabenstätt";"verbandsfreie Gemeinde";"44.83";"1200.54";"0.00";"24.66";"25.15";"14.57";"4298"
"091890120";"Grassau. M";"verbandsfreie Gemeinde";"44.87";"1629.95";"0.00";"13.93";"23.40";"22.15";"6462"
"091890124";"Inzell";"verbandsfreie Gemeinde";"45.63";"1325.35";"0.00";"8.17";"23.33";"14.64";"4527"
"091890127";"Kirchanschöring";"verbandsfreie Gemeinde";"41.32";"1137.41";"0.00";"6.02";"25.40";"20.68";"3154"
"091890130";"Nußdorf";"verbandsfreie Gemeinde";"43.55";"1337.10";"0.00";"5.32";"29.80";"9.86";"2444"
"091890134";"Palling";"verbandsfreie Gemeinde";"42.37";"943.29";"0.00";"-0.30";"28.46";"17.64";"3368"
"091890135";"Petting";"verbandsfreie Gemeinde";"41.62";"944.76";"0.00";"3.92";"22.13";"19.10";"2296"
"091890139";"Reit im Winkl";"verbandsfreie Gemeinde";"47.81";"832.04";"0.00";"-1.27";"32.65";"36.78";"2365"
"091890140";"Ruhpolding";"verbandsfreie Gemeinde";"46.61";"1131.80";"0.00";"35.70";"23.04";"16.31";"6722"
"091890141";"Schleching";"verbandsfreie Gemeinde";"48.20";"1038.82";"0.00";"9.99";"21.36";"30.02";"1702"
"091890142";"Schnaitsee";"verbandsfreie Gemeinde";"41.77";"889.58";"0.00";"3.40";"22.70";"20.57";"3527"
"091890143";"Seeon-Seebruck";"verbandsfreie Gemeinde";"44.30";"1061.48";"0.00";"-7.45";"30.40";"24.09";"4428"
"091890145";"Siegsdorf";"verbandsfreie Gemeinde";"45.03";"1303.58";"0.00";"10.94";"24.17";"9.74";"8230"
"091890148";"Surberg";"verbandsfreie Gemeinde";"42.35";"1368.72";"0.00";"7.70";"22.97";"5.84";"3245"
"091890149";"Tacherting";"verbandsfreie Gemeinde";"42.90";"1136.29";"0.00";"1.64";"26.06";"23.36";"5486"
"091890152";"Tittmoning. St";"verbandsfreie Gemeinde";"42.95";"911.91";"0.00";"-1.04";"27.75";"16.22";"5761"
"091890154";"Traunreut. St";"verbandsfreie Gemeinde";"44.65";"2435.78";"0.00";"6.50";"22.43";"17.41";"20300"
"091890155";"Traunstein. GKSt";"verbandsfreie Gemeinde";"44.47";"2323.60";"0.00";"11.88";"25.30";"0.00";"18944"
"091890157";"Trostberg. St";"verbandsfreie Gemeinde";"45.16";"1642.40";"0.00";"4.89";"24.29";"26.53";"11044"
"091890159";"Übersee";"verbandsfreie Gemeinde";"43.21";"1205.28";"0.00";"2.85";"23.86";"16.61";"4914"
"091890160";"Unterwössen";"verbandsfreie Gemeinde";"46.69";"1359.07";"0.00";"18.77";"21.01";"25.60";"3517"
"091895166";"Bergen (VGem)";"Gemeindeverband";"45.24";"1568.84";"0.00";"9.31";"25.92";"11.51";"6658"
"091895169";"Marquartstein (VGem)";"Gemeindeverband";"46.01";"1696.12";"0.00";"-2.07";"26.92";"21.51";"4345"
"091895170";"Obing (VGem)";"Gemeindeverband";"41.94";"966.58";"0.00";"8.27";"25.06";"27.97";"7133"
"091895173";"Waging aSee (VGem)";"Gemeindeverband";"43.02";"1182.78";"0.00";"6.16";"29.42";"13.25";"9906"
"091899451";"Chiemsee (See)";"gemeindefreies Gebiet";"0.00";"0.00";"0.00";;;"53.62";"0"
"091899452";"Waginger See";"gemeindefreies Gebiet";"0.00";"0.00";"0.00";;;"17.48";"0"
"091900115";"Bernried am Starnberger See";"verbandsfreie Gemeinde";"43.54";"1202.66";"0.00";"10.66";"39.00";"14.18";"2158"
"091900130";"Hohenpeißenberg";"verbandsfreie Gemeinde";"45.92";"1647.60";"0.00";"7.49";"26.36";"17.15";"3736"
"091900138";"Pähl";"verbandsfreie Gemeinde";"42.64";"767.29";"0.00";"9.36";"42.10";"7.98";"2350"
"091900139";"Peißenberg. M";"verbandsfreie Gemeinde";"43.45";"2224.96";"0.00";"6.63";"19.84";"9.32";"12364"
"091900140";"Peiting. M";"verbandsfreie Gemeinde";"45.06";"1603.12";"0.00";"5.19";"21.86";"22.62";"11359"
"091900141";"Penzberg. St";"verbandsfreie Gemeinde";"43.78";"2710.36";"0.00";"7.96";"24.97";"22.82";"16209"
"091900142";"Polling";"verbandsfreie Gemeinde";"43.77";"1185.46";"0.00";"-1.24";"33.98";"4.68";"3225"
"091900144";"Raisting";"verbandsfreie Gemeinde";"41.85";"1211.52";"0.00";"20.20";"28.62";"11.99";"2228"
"091900148";"Schongau. St";"verbandsfreie Gemeinde";"43.17";"2090.78";"0.00";"18.72";"22.37";"27.75";"11912"
"091900157";"Weilheim iOB. St";"verbandsfreie Gemeinde";"44.50";"2542.09";"0.00";"12.31";"23.66";"0.00";"21534"
"091900158";"Wessobrunn";"verbandsfreie Gemeinde";"40.99";"804.33";"0.00";"1.86";"20.82";"10.86";"2146"
"091900159";"Wielenbach";"verbandsfreie Gemeinde";"42.94";"1085.71";"0.00";"18.18";"30.35";"4.38";"3190"
"091905174";"Altenstadt (VGem)";"Gemeindeverband";"41.61";"1189.57";"0.00";"-0.13";"23.11";"25.42";"7980"
"091905175";"Bernbeuren (VGem)";"Gemeindeverband";"41.46";"874.25";"0.00";"-2.95";"15.76";"26.94";"4065"
"091905176";"Habach (VGem)";"Gemeindeverband";"39.61";"947.45";"0.00";"0.60";"29.89";"17.49";"4994"
"091905177";"Huglfing (VGem)";"Gemeindeverband";"41.75";"1218.86";"0.00";"5.95";"25.68";"9.88";"7063"
"091905178";"Rottenbuch (VGem)";"Gemeindeverband";"41.42";"933.33";"0.00";"-5.19";"21.12";"21.37";"3465"
"091905179";"Seeshaupt (VGem)";"Gemeindeverband";"45.54";"963.11";"0.00";"5.96";"44.98";"15.87";"5541"
"091905180";"Steingaden (VGem)";"Gemeindeverband";"42.49";"786.16";"0.00";"9.45";"23.08";"32.49";"4868"
"092610000";"Landshut";"verbandsfreie Gemeinde";"43.63";"3181.51";"85.91";"16.98";"19.80";"0.00";"66179"
"092620000";"Passau";"verbandsfreie Gemeinde";"43.48";"2296.49";"185.75";"12.42";"18.29";"0.00";"49454"
"092630000";"Straubing";"verbandsfreie Gemeinde";"44.24";"2363.01";"6.01";"13.67";"20.99";"0.00";"45502"
"092710111";"Aholming";"verbandsfreie Gemeinde";"42.69";"787.50";"0.00";"10.93";"23.28";"7.34";"2287"
"092710113";"Auerbach";"verbandsfreie Gemeinde";"40.22";"910.92";"0.00";"1.91";"23.04";"15.54";"2097"
"092710116";"Bernried";"verbandsfreie Gemeinde";"43.28";"1248.27";"0.00";"7.11";"21.62";"15.94";"4782"
"092710119";"Deggendorf. GKSt";"verbandsfreie Gemeinde";"43.71";"1928.35";"180.61";"8.32";"20.67";"0.00";"31853"
"092710122";"Grafling";"verbandsfreie Gemeinde";"42.96";"816.52";"0.00";"7.95";"22.05";"9.11";"2767"
"092710125";"Hengersberg. M";"verbandsfreie Gemeinde";"42.56";"1057.98";"0.00";"-1.53";"20.74";"10.62";"7171"
"092710127";"Iggensbach";"verbandsfreie Gemeinde";"43.08";"829.80";"0.00";"-5.96";"20.33";"13.32";"2014"
"092710128";"Künzing";"verbandsfreie Gemeinde";"44.33";"777.89";"0.00";"14.05";"21.19";"20.44";"3132"
"092710132";"Metten. M";"verbandsfreie Gemeinde";"43.46";"1690.69";"0.00";"9.55";"29.10";"7.38";"4187"
"092710138";"Niederalteich";"verbandsfreie Gemeinde";"41.78";"1259.56";"0.00";"-16.28";"19.26";"12.32";"1781"
"092710140";"Offenberg";"verbandsfreie Gemeinde";"41.96";"1135.81";"0.00";"2.14";"24.82";"10.21";"3264"
"092710141";"Osterhofen. St";"verbandsfreie Gemeinde";"43.93";"941.61";"0.00";"12.33";"19.60";"14.77";"11434"
"092710146";"Plattling. St";"verbandsfreie Gemeinde";"43.34";"1472.73";"0.00";"16.02";"17.65";"0.00";"12544"
"092710151";"Stephansposching";"verbandsfreie Gemeinde";"43.11";"568.93";"0.00";"13.77";"23.11";"6.83";"3051"
"092710153";"Winzer. M";"verbandsfreie Gemeinde";"42.29";"1190.31";"0.00";"18.22";"19.57";"14.46";"3842"
"092715202";"Lalling (VGem)";"Gemeindeverband";"42.56";"733.91";"0.00";"2.75";"22.42";"18.73";"5459"
"092715204";"Oberpöring (VGem)";"Gemeindeverband";"42.06";"712.99";"0.00";"1.13";"24.20";"9.72";"4423"
"092715205";"Moos (VGem)";"Gemeindeverband";"43.16";"723.38";"0.00";"12.61";"25.46";"9.97";"3092"
"092715206";"Schöllnach (VGem)";"Gemeindeverband";"41.59";"993.63";"0.00";"13.24";"18.46";"18.69";"6194"
"092720118";"Freyung. St";"verbandsfreie Gemeinde";"46.10";"1159.52";"0.00";"4.74";"20.47";"37.25";"6955"
"092720120";"Grafenau. St";"verbandsfreie Gemeinde";"44.54";"977.10";"0.00";"7.03";"19.74";"40.52";"8255"
"092720121";"Grainet";"verbandsfreie Gemeinde";"41.03";"883.09";"0.00";"6.67";"15.04";"40.74";"2398"
"092720122";"Haidmühle";"verbandsfreie Gemeinde";"45.54";"669.80";"0.00";"14.27";"14.33";"54.49";"1331"
"092720127";"Hohenau";"verbandsfreie Gemeinde";"43.34";"863.87";"0.00";"-8.12";"19.61";"42.31";"3326"
"092720129";"Jandelsbrunn";"verbandsfreie Gemeinde";"41.68";"661.40";"0.00";"5.71";"19.70";"35.42";"3327"
"092720134";"Mauth";"verbandsfreie Gemeinde";"45.68";"815.41";"0.00";"-10.10";"14.76";"46.79";"2277"
"092720136";"Neureichenau";"verbandsfreie Gemeinde";"43.17";"758.20";"0.00";"1.40";"17.52";"38.61";"4300"
"092720140";"Ringelai";"verbandsfreie Gemeinde";"43.80";"1036.26";"0.00";"2.58";"19.06";"36.47";"1936"
"092720141";"Röhrnbach. M";"verbandsfreie Gemeinde";"42.95";"822.12";"0.00";"-4.55";"21.33";"24.33";"4394"
"092720142";"Saldenburg";"verbandsfreie Gemeinde";"43.80";"813.81";"0.00";"3.12";"18.33";"27.53";"1923"
"092720143";"Sankt Oswald-Riedlhütte";"verbandsfreie Gemeinde";"46.24";"950.81";"0.00";"-19.55";"21.53";"47.11";"2864"
"092720146";"Neuschönau";"verbandsfreie Gemeinde";"42.33";"817.34";"0.00";"-4.52";"19.57";"46.80";"2214"
"092720149";"Spiegelau";"verbandsfreie Gemeinde";"47.36";"960.95";"0.00";"9.73";"19.81";"46.66";"3904"
"092720151";"Waldkirchen. St";"verbandsfreie Gemeinde";"42.90";"1024.06";"0.00";"0.00";"16.60";"28.00";"10244"
"092725211";"Schönberg (VGem)";"Gemeindeverband";"44.58";"823.52";"0.00";"-1.18";"19.35";"34.86";"7642"
"092725212";"Hinterschmiding (VGem)";"Gemeindeverband";"42.46";"888.37";"0.00";"0.00";"17.49";"43.00";"3164"
"092725213";"Thurmansbang (VGem)";"Gemeindeverband";"45.61";"713.72";"0.00";"17.44";"16.12";"28.10";"3498"
"092725214";"Perlesreut (VGem)";"Gemeindeverband";"43.23";"861.66";"0.00";"-7.89";"20.56";"30.46";"3674"
"092729451";"Annathaler Wald";"gemeindefreies Gebiet";"0.00";"0.00";"0.00";;;"51.67";"0"
"092729452";"Frauenberger u Duschlberger Wald";"gemeindefreies Gebiet";"0.00";"0.00";"0.00";;;"49.76";"0"
"092729453";"Graineter Wald";"gemeindefreies Gebiet";"0.00";"0.00";"0.00";;;"44.55";"0"
"092729455";"Leopoldsreuter Wald";"gemeindefreies Gebiet";"0.00";"0.00";"0.00";;;"57.84";"0"
"092729456";"Mauther Forst";"gemeindefreies Gebiet";"0.00";"0.00";"0.00";;;"53.83";"0"
"092729457";"Philipppsreuter Wald";"gemeindefreies Gebiet";"0.00";"0.00";"0.00";;;"50.88";"0"
"092729458";"Pleckensteiner Wald";"gemeindefreies Gebiet";"0.00";"0.00";"0.00";;;"56.60";"0"
"092729459";"Sankt Oswald";"gemeindefreies Gebiet";"0.00";"0.00";"0.00";;;"50.51";"0"
"092729460";"Schlichtenberger Wald";"gemeindefreies Gebiet";"0.00";"0.00";"0.00";;;"44.63";"0"
"092729461";"Schönbrunner Wald";"gemeindefreies Gebiet";"0.00";"0.00";"0.00";;;"49.55";"0"
"092729463";"Waldhäuserwald";"gemeindefreies Gebiet";"0.00";"0.00";"0.00";;;"54.40";"0"
"092730111";"Abensberg. St";"verbandsfreie Gemeinde";"40.73";"1613.00";"0.00";"7.37";"20.92";"29.26";"13034"
"092730116";"Bad Abbach. M";"verbandsfreie Gemeinde";"41.83";"1595.96";"0.00";"10.30";"24.15";"14.86";"11742"
"092730137";"Kelheim. St";"verbandsfreie Gemeinde";"43.71";"1515.36";"0.00";"14.67";"20.56";"26.58";"15750"
"092730147";"Mainburg. St";"verbandsfreie Gemeinde";"40.44";"1591.26";"0.00";"10.34";"27.42";"29.60";"14405"
"092730152";"Neustadt adDonau. St";"verbandsfreie Gemeinde";"41.73";"873.78";"0.00";"9.18";"21.54";"31.93";"13070"
"092730159";"Painten. M";"verbandsfreie Gemeinde";"42.27";"1001.77";"0.00";"-1.36";"28.01";"27.73";"2199"
"092730164";"Riedenburg. St";"verbandsfreie Gemeinde";"43.58";"746.64";"0.00";"16.51";"23.35";"33.66";"5572"
"092730165";"Rohr iNB. M";"verbandsfreie Gemeinde";"44.11";"657.34";"0.00";"12.95";"24.00";"27.16";"3244"
"092735215";"Ihrlerstein (VGem)";"Gemeindeverband";"44.59";"1430.77";"0.00";"12.17";"23.15";"26.83";"5177"
"092735216";"Saal adDonau (VGem)";"Gemeindeverband";"43.46";"1058.08";"0.00";"15.88";"27.92";"21.91";"6927"
"092735217";"Langquaid (VGem)";"Gemeindeverband";"40.87";"800.81";"0.00";"12.36";"23.27";"22.29";"8576"
"092735218";"Siegenburg (VGem)";"Gemeindeverband";"40.95";"885.31";"0.00";"13.17";"22.22";"29.46";"8807"
"092735219";"Mainburg (VGem)";"Gemeindeverband";"41.86";"678.54";"0.00";"4.90";"25.32";"29.07";"6729"
"092739451";"Dürnbucher Forst";"gemeindefreies Gebiet";"0.00";"0.00";"0.00";;;"31.14";"0"
"092739452";"Frauenforst";"gemeindefreies Gebiet";"0.00";"0.00";"0.00";;;"25.29";"0"
"092739453";"Hacklberg";"gemeindefreies Gebiet";"0.00";"0.00";"0.00";;;"33.44";"0"
"092739454";"Hienheimer Forst";"gemeindefreies Gebiet";"0.00";"0.00";"0.00";;;"40.00";"0"
"092740111";"Adlkofen";"verbandsfreie Gemeinde";"42.87";"872.15";"0.00";"27.58";"26.91";"12.62";"3880"
"092740113";"Altdorf. M";"verbandsfreie Gemeinde";"43.36";"2174.17";"0.00";"-2.27";"24.13";"7.07";"11036"
"092740120";"Bodenkirchen";"verbandsfreie Gemeinde";"42.28";"798.34";"0.00";"-1.54";"19.55";"24.49";"5209"
"092740121";"Buch aErlbach";"verbandsfreie Gemeinde";"42.19";"1303.77";"0.00";"2.53";"34.43";"16.50";"3562"
"092740124";"Eching";"verbandsfreie Gemeinde";"40.77";"1072.87";"0.00";"4.26";"32.57";"10.61";"3756"
"092740126";"Ergolding. M";"verbandsfreie Gemeinde";"43.21";"1698.89";"0.00";"8.15";"27.55";"6.35";"11774"
"092740128";"Essenbach. M";"verbandsfreie Gemeinde";"41.34";"1099.72";"0.00";"11.59";"21.14";"10.70";"11478"
"092740134";"Geisenhausen. M";"verbandsfreie Gemeinde";"41.62";"1108.31";"0.00";"31.52";"21.40";"15.71";"6757"
"092740141";"Hohenthann";"verbandsfreie Gemeinde";"40.39";"738.99";"0.00";"21.09";"26.52";"18.01";"3936"
"092740146";"Kumhausen";"verbandsfreie Gemeinde";"40.33";"1289.40";"0.00";"7.63";"28.32";"10.00";"5245"
"092740153";"Neufahrn iNB";"verbandsfreie Gemeinde";"43.41";"842.59";"0.00";"12.80";"23.30";"24.14";"3906"
"092740156";"Niederaichbach";"verbandsfreie Gemeinde";"41.24";"1036.10";"0.00";"33.00";"19.79";"15.92";"3788"
"092740172";"Pfeffenhausen. M";"verbandsfreie Gemeinde";"42.46";"771.03";"0.00";"12.15";"22.87";"22.79";"4773"
"092740176";"Rottenburg adLaaber. St";"verbandsfreie Gemeinde";"43.21";"879.47";"0.00";"8.98";"21.87";"27.25";"7681"
"092740182";"Tiefenbach";"verbandsfreie Gemeinde";"42.75";"1284.23";"0.00";"8.62";"35.78";"9.10";"3713"
"092740184";"Vilsbiburg. St";"verbandsfreie Gemeinde";"42.87";"1257.89";"0.00";"12.29";"21.21";"24.31";"11309"
"092740185";"Vilsheim";"verbandsfreie Gemeinde";"41.29";"1034.16";"0.00";"2.11";"20.19";"16.00";"2370"
