Kennziffer;Raumeinheit;Aggregat;Durchschnittsalter der Bevölkerung;Siedlungsdichte in km²;Studierende je 100 Einwohner 18 bis 25 Jahre;Gesamtwanderungssaldo;Haushalte mit hohem Einkommen;Erreichbarkeit von Oberzentren;Bevölkerung gesamt
"010570008";"Bönebüttel";"verbandsfreie Gemeinde";"43.08";"1136.07";"0.00";"0.99";"24.41";"6.03";"2022"
"010570009";"Bösdorf";"verbandsfreie Gemeinde";"47.05";"498.87";"0.00";"18.90";"18.48";"36.70";"1323"
"010570057";"Plön. Stadt";"verbandsfreie Gemeinde";"48.36";"2129.90";"0.00";"10.41";"13.79";"31.58";"8647"
"010570062";"Preetz. Stadt";"verbandsfreie Gemeinde";"45.70";"2754.64";"0.00";"5.80";"19.18";"21.23";"15526"
"010570091";"Schwentinental. Stadt";"verbandsfreie Gemeinde";"47.04";"2198.38";"0.00";"0.97";"31.17";"13.04";"13408"
"010575727";"Amt Lütjenburg";"Gemeindeverband";"45.82";"810.64";"0.00";"-2.57";"19.14";"40.15";"15563"
"010575739";"Großer Plöner See";"Gemeindeverband";"45.25";"674.34";"0.00";"-0.22";"21.18";"32.12";"4472"
"010575747";"Preetz-Land";"Gemeindeverband";"43.61";"737.73";"0.00";"-4.90";"22.96";"21.72";"9393"
"010575755";"Probstei";"Gemeindeverband";"47.01";"1326.29";"0.00";"6.24";"20.92";"24.91";"21323"
"010575775";"Selent/ Schlesen";"Gemeindeverband";"43.12";"881.22";"0.00";"4.17";"21.30";"26.45";"5514"
"010575782";"Schrevenborn";"Gemeindeverband";"47.40";"2074.26";"0.00";"13.46";"28.78";"15.67";"18357"
"010575785";"Bokhorst-Wankendorf";"Gemeindeverband";"43.09";"818.01";"0.00";"1.61";"21.67";"18.15";"8051"
"010580005";"Altenholz";"verbandsfreie Gemeinde";"47.00";"2290.74";"162.71";"7.25";"32.92";"14.03";"9928"
"010580034";"Büdelsdorf. Stadt";"verbandsfreie Gemeinde";"46.71";"2288.59";"0.00";"11.31";"20.80";"27.14";"9992"
"010580043";"Eckernförde. Stadt";"verbandsfreie Gemeinde";"47.02";"2331.77";"0.00";"6.33";"18.85";"29.81";"21792"
"010580092";"Kronshagen";"verbandsfreie Gemeinde";"46.36";"3271.94";"0.00";"5.80";"26.94";"7.86";"11715"
"010580135";"Rendsburg. Stadt";"verbandsfreie Gemeinde";"43.54";"2156.85";"0.00";"-2.09";"19.02";"29.45";"27325"
"010580169";"Wasbek";"verbandsfreie Gemeinde";"43.18";"772.82";"0.00";"-1.36";"22.03";"9.76";"2210"
"010585803";"Achterwehr";"Gemeindeverband";"43.48";"1035.29";"0.00";"6.36";"25.09";"15.07";"10998"
"010585822";"Dänischenhagen";"Gemeindeverband";"43.98";"1032.81";"0.00";"-3.41";"29.51";"21.07";"9085"
"010585824";"Dänischer Wohld";"Gemeindeverband";"43.35";"1323.88";"0.00";"13.42";"26.33";"19.49";"16246"
"010585830";"Flintbek";"Gemeindeverband";"45.20";"1701.26";"0.00";"7.14";"28.58";"17.52";"8118"
"010585833";"Fockbek";"Gemeindeverband";"45.29";"1105.66";"0.00";"-8.25";"24.14";"30.78";"10666"
"010585847";"Hohner Harde";"Gemeindeverband";"43.43";"597.50";"0.00";"-4.06";"19.74";"40.23";"8612"
"010585853";"Jevenstedt";"Gemeindeverband";"43.63";"898.68";"0.00";"0.26";"24.39";"30.69";"11467"
"010585859";"Molfsee";"Gemeindeverband";"46.60";"1220.81";"0.00";"2.34";"38.38";"12.93";"8533"
"010585864";"Nortorfer  Land";"Gemeindeverband";"44.11";"749.20";"0.00";"6.80";"19.97";"18.49";"18244"
"010585888";"Eiderkanal";"Gemeindeverband";"43.24";"1056.94";"0.00";"2.65";"21.82";"19.89";"12449"
"010585889";"Bordesholm";"Gemeindeverband";"44.29";"1263.46";"0.00";"10.02";"23.28";"16.32";"14165"
"010585890";"Hüttener Berge";"Gemeindeverband";"43.54";"806.17";"0.00";"2.06";"21.81";"28.94";"14102"
"010585893";"Schlei-Ostsee";"Gemeindeverband";"43.96";"803.72";"0.00";"0.64";"20.07";"39.70";"18615"
"010585895";"Mittelholstein";"Gemeindeverband";"43.45";"694.97";"0.00";"5.04";"21.45";"32.12";"23813"
"010590045";"Kappeln. Stadt";"verbandsfreie Gemeinde";"48.08";"1244.76";"0.00";"2.74";"19.23";"44.76";"8764"
"010590075";"Schleswig. Stadt";"verbandsfreie Gemeinde";"45.99";"2135.60";"0.00";"4.99";"18.44";"28.39";"23635"
"010590113";"Glücksburg (Ostsee). Stadt";"verbandsfreie Gemeinde";"50.97";"1413.92";"0.00";"21.43";"29.40";"14.75";"5834"
"010590120";"Harrislee";"verbandsfreie Gemeinde";"45.87";"1924.75";"0.00";"4.71";"21.41";"7.26";"11040"
"010590183";"Handewitt";"verbandsfreie Gemeinde";"42.24";"945.21";"0.00";"-3.69";"24.20";"9.64";"10851"
"010595912";"Eggebek";"Gemeindeverband";"41.83";"623.82";"0.00";"7.65";"18.34";"20.83";"8367"
"010595915";"Haddeby";"Gemeindeverband";"44.74";"597.35";"0.00";"0.57";"24.69";"28.93";"8792"
"010595919";"Hürup";"Gemeindeverband";"43.60";"896.24";"0.00";"2.57";"20.09";"12.16";"8551"
"010595920";"Kappeln-Land";"Gemeindeverband";"46.51";"607.17";"0.00";"-23.78";"32.53";"41.45";"1430"
"010595937";"Langballig";"Gemeindeverband";"45.11";"1029.64";"0.00";"-3.38";"19.51";"16.99";"7997"
"010595940";"Oeversee";"Gemeindeverband";"43.55";"893.18";"0.00";"10.62";"19.73";"14.03";"10166"
"010595949";"Amt Mittelangeln";"Gemeindeverband";"42.84";"1015.49";"0.00";"9.70";"21.41";"22.63";"9893"
"010595952";"Schafflund";"Gemeindeverband";"41.39";"610.05";"0.00";"0.73";"19.84";"19.31";"12320"
"010595974";"Süderbrarup";"Gemeindeverband";"44.47";"884.05";"0.00";"0.80";"18.34";"36.27";"11189"
"010595987";"Südangeln";"Gemeindeverband";"43.81";"789.85";"0.00";"1.58";"19.58";"28.89";"13280"
"010595990";"Geltinger Bucht";"Gemeindeverband";"47.03";"755.10";"0.00";"-7.40";"17.62";"34.40";"12438"
"010595993";"Arensharde";"Gemeindeverband";"42.82";"702.52";"0.00";"-1.14";"20.34";"27.84";"13992"
"010595996";"Kropp-Stapelholm";"Gemeindeverband";"43.86";"733.94";"0.00";"5.48";"19.34";"43.36";"16596"
"010600004";"Bad Bramstedt. Stadt";"verbandsfreie Gemeinde";"43.36";"1803.44";"0.00";"4.27";"19.98";"22.65";"13576"
"010600005";"Bad Segeberg. Stadt";"verbandsfreie Gemeinde";"44.79";"2189.32";"0.00";"10.64";"22.69";"22.82";"16732"
