"plz","note","einwohner","qkm","Durchschnittsalter der Bevölkerung","Siedlungsdichte in km²","Studierende je 100 Einwohner 18 bis 25 Jahre","Gesamtwanderungssaldo","Haushalte mit hohem Einkommen","Erreichbarkeit von Oberzentren","Bevölkerung gesamt"
"24620","24620 Bönebüttel",2024,20.468993,43.08,1136.07,0,0.99,24.41,6.03,2022
"24306","24306 Plön",11348,93.602221,48.36,2129.9,0,10.41,13.79,31.58,8647
"24211","24211 Preetz",21825,149.558406,45.7,2754.64,0,5.8,19.18,21.23,15526
"24222","24222 Schwentinental",5816,6.514492,47.04,2198.38,0,0.97,31.17,13.04,13408
"24223","24223 Schwentinetal",7708,13.695936,47.04,2198.38,0,0.97,31.17,13.04,13408
"24257","24257 Hohenfelde",2699,38.511493,45.82,810.64,0,-2.57,19.14,40.15,15563
"24321","24321 Lütjenburg",11047,124.483181,45.82,810.64,0,-2.57,19.14,40.15,15563
"24327","24327 Blekendorf",2317,60.908987,45.82,810.64,0,-2.57,19.14,40.15,15563
"24329","24329 Grebin",1944,50.002102,45.25,674.34,0,-0.22,21.18,32.12,4472
"24250","24250 Nettelsee",1402,33.490109,43.61,737.73,0,-4.9,22.96,21.72,9393
"24245","24245 Kirchbarkau",1339,14.070459,43.61,737.73,0,-4.9,22.96,21.72,9393
"24217","24217 Schönberg (Holstein)",9880,66.072073,47.01,1326.29,0,6.24,20.92,24.91,21323
"24235","24235 Laboe",7548,20.655477,47.01,1326.29,0,6.24,20.92,24.91,21323
"24253","24253 Probsteierhagen",2989,27.680634,47.01,1326.29,0,6.24,20.92,24.91,21323
"24256","24256 Fargau-Pratjau",1580,39.248852,43.12,881.22,0,4.17,21.3,26.45,5514
"24238","24238 Selent",3204,64.914135,43.12,881.22,0,4.17,21.3,26.45,5514
"24232","24232 Schönkirchen",7361,37.896448,43.12,881.22,0,4.17,21.3,26.45,5514
"24248","24248 Mönkeberg",3832,2.76371,47.4,2074.26,0,13.46,28.78,15.67,18357
"24226","24226 Heikendorf",8188,14.765292,47.4,2074.26,0,13.46,28.78,15.67,18357
"24601","24601 Wankendorf",5532,64.874372,43.09,818.01,0,1.61,21.67,18.15,8051
"24637","24637 Schillsdorf",894,26.798244,43.09,818.01,0,1.61,21.67,18.15,8051
"24161","24161 Altenholz",9920,22.393883,47,2290.74,162.71,7.25,32.92,14.03,9928
"24782","24782 Büdelsdorf, Rickert",11105,11.172645,46.71,2288.59,0,11.31,20.8,27.14,9992
"24340","24340 Eckernförde",24574,61.202601,47.02,2331.77,0,6.33,18.85,29.81,21792
"24119","24119 Kronshagen",11601,5.336135,46.36,3271.94,0,5.8,26.94,7.86,11715
"24768","24768 Rendsburg",27651,23.850211,43.54,2156.85,0,-2.09,19.02,29.45,27325
"24647","24647 Wasbek",2891,38.299028,43.18,772.82,0,-1.36,22.03,9.76,2210
"24259","24259 Westensee",1536,36.535606,43.48,1035.29,0,6.36,25.09,15.07,10998
"24242","24242 Felde",2064,15.56951,43.48,1035.29,0,6.36,25.09,15.07,10998
"24239","24239 Achterwehr",986,13.87574,43.48,1035.29,0,6.36,25.09,15.07,10998
"24107","24107 Kiel",12106,27.056512,43.48,1035.29,0,6.36,25.09,15.07,10998
"24229","24229 Dänischenhagen",8395,57.558643,43.98,1032.81,0,-3.41,29.51,21.07,9085
"24214","24214 Gettorf u.a.",13442,102.918521,43.35,1323.88,0,13.42,26.33,19.49,16246
"24251","24251 Osdorf",2367,19.701052,43.35,1323.88,0,13.42,26.33,19.49,16246
"24244","24244 Felm",1061,12.901402,43.35,1323.88,0,13.42,26.33,19.49,16246
"24220","24220 Flintbek",8611,36.2688,45.2,1701.26,0,7.14,28.58,17.52,8118
"24809","24809 Nübbel",1574,14.275361,45.29,1105.66,0,-8.25,24.14,30.78,10666
"24791","24791 Alt Duvenstedt",1922,21.754261,45.29,1105.66,0,-8.25,24.14,30.78,10666
"24787","24787 Fockbek",6351,27.465176,45.29,1105.66,0,-8.25,24.14,30.78,10666
"24799","24799 Meggerdorf, Friedrichsholm, Friedrichsgraben u.a.",1598,50.49518,43.43,597.5,0,-4.06,19.74,40.23,8612
"24806","24806 Hohn",3466,58.02451,43.43,597.5,0,-4.06,19.74,40.23,8612
"24800","24800 Elsdorf-Westermühlen",1633,27.48975,43.43,597.5,0,-4.06,19.74,40.23,8612
"24797","24797 Breiholz u.a.",1576,36.314571,43.43,597.5,0,-4.06,19.74,40.23,8612
"24805","24805 Hamdorf",1471,36.170836,43.43,597.5,0,-4.06,19.74,40.23,8612
"24784","24784 Westerrönfeld",4944,7.271587,43.63,898.68,0,0.26,24.39,30.69,11467
"24816","24816 Hamweddel",1406,42.953968,43.63,898.68,0,0.26,24.39,30.69,11467
"24808","24808 Jevenstedt",3295,45.705161,43.63,898.68,0,0.26,24.39,30.69,11467
"24813","24813 Schülp bei Rendsburg",1022,7.772692,43.63,898.68,0,0.26,24.39,30.69,11467
"24113","24113 Kiel",21749,16.989454,46.6,1220.81,0,2.34,38.38,12.93,8533
"24241","24241 Blumenthal",1947,34.55442,46.6,1220.81,0,2.34,38.38,12.93,8533
"24247","24247 Mielkendorf",1945,14.751326,46.6,1220.81,0,2.34,38.38,12.93,8533
"24254","24254 Rumohr",803,8.879643,46.6,1220.81,0,2.34,38.38,12.93,8533
"24622","24622 Gnutz",1211,23.368925,44.11,749.2,0,6.8,19.97,18.49,18244
"24793","24793 Bargstedt, Brammer, Oldenbüttel",1299,42.906185,44.11,749.2,0,6.8,19.97,18.49,18244
"24589","24589 Nortorf",9232,54.915518,44.11,749.2,0,6.8,19.97,18.49,18244
"24644","24644 Timmaspe",1746,35.583352,44.11,749.2,0,6.8,19.97,18.49,18244
"24646","24646 Warder",619,8.572607,44.11,749.2,0,6.8,19.97,18.49,18244
"24631","24631 Langwedel",1507,24.377346,44.11,749.2,0,6.8,19.97,18.49,18244
"24802","24802 Emkendorf",3071,63.902019,44.11,749.2,0,6.8,19.97,18.49,18244
"24783","24783 Osterrönfeld",5195,17.874299,43.24,1056.94,0,2.65,21.82,19.89,12449
"24790","24790 Schacht-Audorf",6167,42.287547,43.24,1056.94,0,2.65,21.82,19.89,12449
"24796","24796 Bredenbek",3189,52.448007,43.24,1056.94,0,2.65,21.82,19.89,12449
"24625","24625 Großharrie",913,25.874441,44.29,1263.46,0,10.02,23.28,16.32,14165
"24582","24582 Bordesholm",12826,59.787956,44.29,1263.46,0,10.02,23.28,16.32,14165
"24814","24814 Sehestedt",839,15.444672,43.54,806.17,0,2.06,21.81,28.94,14102
"24811","24811 Owschlag u.a.",4572,56.20516,43.54,806.17,0,2.06,21.81,28.94,14102
"24794","24794 Borgstedt",2114,28.566524,43.54,806.17,0,2.06,21.81,28.94,14102
"24363","24363 Holtsee",1298,21.691119,43.54,806.17,0,2.06,21.81,28.94,14102
"24358","24358 Ascheffel",1684,26.866394,43.54,806.17,0,2.06,21.81,28.94,14102
"24361","24361 Groß Wittensee u.a.",2694,45.983552,43.54,806.17,0,2.06,21.81,28.94,14102
"24367","24367 Osterby",940,9.830657,43.54,806.17,0,2.06,21.81,28.94,14102
"24369","24369 Waabs",1429,33.155256,43.96,803.72,0,0.64,20.07,39.7,18615
"24351","24351 Damp",1928,41.083811,43.96,803.72,0,0.64,20.07,39.7,18615
"24357","24357 Fleckeby u.a.",3145,32.525072,43.96,803.72,0,0.64,20.07,39.7,18615
