Kennziffer,Raumeinheit,Aggregat,Gästeübernachtungen in Beherbergungsbetrieben 2013,Kinos 2017,Öffentliche Bäder 2017
06636,Werra-Meißner-Kreis,Kreise,7.2,3.0,15.0
07111,"Koblenz, kreisfreie Stadt",Kreise,5.6,3.0,6.0
07131,Ahrweiler,Kreise,10.8,2.0,8.0
07132,Altenkirchen (Westerwald),Kreise,1.6,1.0,10.0
07133,Bad Kreuznach,Kreise,6.3,1.0,21.0
07134,Birkenfeld,Kreise,5.4,1.0,7.0
07135,Cochem-Zell,Kreise,25.4,1.0,11.0
07137,Mayen-Koblenz,Kreise,2.9,1.0,14.0
07138,Neuwied,Kreise,1.6,3.0,12.0
07140,Rhein-Hunsrück-Kreis,Kreise,7.8,2.0,10.0
07141,Rhein-Lahn-Kreis,Kreise,6.5,3.0,17.0
07143,Westerwaldkreis,Kreise,3.4,2.0,20.0
07211,"Trier, kreisfreie Stadt",Kreise,6.8,3.0,6.0
07231,Bernkastel-Wittlich,Kreise,14.3,1.0,12.0
07232,Eifelkreis Bitburg-Prüm,Kreise,6.7,2.0,17.0
07233,Vulkaneifel,Kreise,20.6,2.0,11.0
07235,Trier-Saarburg,Kreise,7.0,0.0,13.0
07311,"Frankenthal (Pfalz), kreisfreie Stadt",Kreise,1.7,1.0,2.0
07312,"Kaiserslautern, kreisfreie Stadt",Kreise,2.1,3.0,6.0
07313,"Landau in der Pfalz, kreisfreie Stadt",Kreise,1.5,0.0,3.0
07314,"Ludwigshafen am Rhein, kreisfreie Stadt",Kreise,1.6,1.0,8.0
07315,"Mainz, kreisfreie Stadt",Kreise,4.3,5.0,5.0
07316,"Neustadt an der Weinstraße, kreisfreie Stadt",Kreise,3.3,2.0,4.0
07317,"Pirmasens, kreisfreie Stadt",Kreise,1.2,1.0,4.0
07318,"Speyer, kreisfreie Stadt",Kreise,5.1,1.0,8.0
07319,"Worms, kreisfreie Stadt",Kreise,1.7,1.0,5.0
07320,"Zweibrücken, kreisfreie Stadt",Kreise,1.4,1.0,3.0
07331,Alzey-Worms,Kreise,1.0,1.0,10.0
07332,Bad Dürkheim,Kreise,5.9,1.0,10.0
07333,Donnersbergkreis,Kreise,1.7,0.0,5.0
07334,Germersheim,Kreise,1.1,0.0,13.0
07335,Kaiserslautern,Kreise,2.3,2.0,16.0
07336,Kusel,Kreise,1.2,1.0,10.0
07337,Südliche Weinstraße,Kreise,7.2,3.0,11.0
07338,Rhein-Pfalz-Kreis,Kreise,0.9,1.0,18.0
07339,Mainz-Bingen,Kreise,1.9,1.0,7.0
07340,Südwestpfalz,Kreise,3.2,1.0,18.0
08111,"Stuttgart, Stadtkreis",Kreise,5.3,13.0,37.0
08115,Böblingen,Kreise,2.6,7.0,26.0
08116,Esslingen,Kreise,2.6,7.0,40.0
08117,Göppingen,Kreise,2.1,2.0,26.0
08118,Ludwigsburg,Kreise,1.8,7.0,40.0
08119,Rems-Murr-Kreis,Kreise,1.7,9.0,39.0
08121,"Heilbronn, Stadtkreis",Kreise,2.4,2.0,7.0
08125,Heilbronn,Kreise,3.5,3.0,43.0
08126,Hohenlohekreis,Kreise,3.5,3.0,28.0
08127,Schwäbisch Hall,Kreise,2.8,5.0,31.0
08128,Main-Tauber-Kreis,Kreise,6.7,4.0,22.0
08135,Heidenheim,Kreise,1.7,2.0,14.0
08136,Ostalbkreis,Kreise,2.3,5.0,34.0
08211,"Baden-Baden, Stadtkreis",Kreise,16.7,2.0,9.0
08212,"Karlsruhe, Stadtkreis",Kreise,3.4,4.0,19.0
08215,Karlsruhe,Kreise,1.9,3.0,56.0
08216,Rastatt,Kreise,2.5,4.0,27.0
08221,"Heidelberg, Stadtkreis",Kreise,7.9,4.0,10.0
08222,"Mannheim, Stadtkreis",Kreise,3.9,5.0,15.0
08225,Neckar-Odenwald-Kreis,Kreise,3.4,1.0,19.0
08226,Rhein-Neckar-Kreis,Kreise,2.5,8.0,56.0
08231,"Pforzheim, Stadtkreis",Kreise,1.9,3.0,5.0
08235,Calw,Kreise,8.5,3.0,21.0
08236,Enzkreis,Kreise,1.1,1.0,17.0
08237,Freudenstadt,Kreise,14.7,2.0,23.0
08311,"Freiburg im Breisgau, Stadtkreis",Kreise,6.3,5.0,20.0
08315,Breisgau-Hochschwarzwald,Kreise,18.3,6.0,55.0
08316,Emmendingen,Kreise,3.8,2.0,18.0
08317,Ortenaukreis,Kreise,8.1,9.0,49.0
08325,Rottweil,Kreise,2.2,3.0,16.0
08326,Schwarzwald-Baar-Kreis,Kreise,7.7,6.0,29.0
08327,Tuttlingen,Kreise,1.6,2.0,9.0
08335,Konstanz,Kreise,7.3,4.0,38.0
08336,Lörrach,Kreise,5.4,7.0,19.0
08337,Waldshut,Kreise,8.6,2.0,30.0
08415,Reutlingen,Kreise,3.7,5.0,34.0
08416,Tübingen,Kreise,1.7,4.0,18.0
08417,Zollernalbkreis,Kreise,1.6,4.0,36.0
08421,"Ulm, Stadtkreis",Kreise,4.3,4.0,9.0
08425,Alb-Donau-Kreis,Kreise,2.6,1.0,20.0
08426,Biberach,Kreise,3.7,2.0,14.0
08435,Bodenseekreis,Kreise,13.8,5.0,29.0
08436,Ravensburg,Kreise,6.1,6.0,64.0
08437,Sigmaringen,Kreise,4.7,3.0,27.0
09161,Ingolstadt,Kreise,3.6,4.0,6.0
09162,"München, Landeshauptstadt",Kreise,9.2,16.0,29.0
09163,"Rosenheim, Stadt",Kreise,2.6,1.0,6.0
09171,Altötting,Kreise,2.2,2.0,11.0
09172,Berchtesgadener Land,Kreise,25.9,2.0,13.0
09173,Bad Tölz-Wolfratshausen,Kreise,9.4,3.0,11.0
09174,Dachau,Kreise,1.9,1.0,6.0
09175,Ebersberg,Kreise,2.6,2.0,18.0
09176,Eichstätt,Kreise,6.5,1.0,10.0
09177,Erding,Kreise,7.9,3.0,8.0
09178,Freising,Kreise,4.8,1.0,8.0
09179,Fürstenfeldbruck,Kreise,1.3,2.0,14.0
09180,Garmisch-Partenkirchen,Kreise,34.3,4.0,13.0
09181,Landsberg am Lech,Kreise,2.3,6.0,8.0
09182,Miesbach,Kreise,22.6,3.0,10.0
09183,Mühldorf a.Inn,Kreise,1.5,2.0,11.0
09184,München,Kreise,6.7,3.0,22.0
